,titulo,data,horario,genero_ano,sinopse
90,Ninguém Sai Vivo Daqui,2025-04-24,23:20,Drama / 2024,"Elisa é internada à força pelo pai no hospital psiquiátrico Colônia. Ela se torna prisioneira da clínica por um motivo fútil e é medicada contra a sua vontade. Sedada e vítima da violência enlouquecedora do lugar, Elisa pensa em formas de escapar."
91,Delírios de um Anormal,2025-04-24,00:50,Horror / 1978,"O psiquiatra Dr. Hamilton tem pesadelos recorrentes com o icônico personagem Zé do Caixão tentando raptar sua esposa Tânia. Desorientados, seus colegas médicos decidem buscar ajuda com o cineasta José Mojica Marins, criador do famoso coveiro. Agora, Mojica precisa convencer Hamilton que seu personagem é apenas uma obra de ficção."
92,Guard Dog & Bill Plympton no Brasil,2025-04-24,02:15,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
93,Espelho de Carne,2025-04-24,02:20,Drama / 1985 / 5.3,"Para presentear sua esposa Helena, o jovem executivo Álvaro compra em leilão um espelho que pertencia a uma casa de encontros amorosos do início do século 20. Porém, o espelho começa a causar estranho fascínio nas pessoas que se veem refletidas nele, induzindo-as ao amor voraz."
94,Pornolândia,2025-04-24,04:10,Adults only,Márcia Dailyn fala sobre a sua trajetória até se tornar a primeira bailarina transexual do Theatro Municipal de São Paulo e destaca as dificuldades em ser uma artista no Brasil.
95,A Mulher do Meu Marido,2025-04-24,04:25,Comedy / 2019,"Depois de alguns anos de casamento com Pedro, Joana descobre que está sendo traída, mas decide fingir que não sabe de nada para continuar a relação de maneira tranquila. Mas depois de descobrir que o caso extraconjugal de Pedro é com Pilar, ela começa a se relacionar com o marido da amante secreta."
96,Cinejornal,2025-04-25,06:00,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país."
97,Esquinas - Pílulas,2025-04-25,06:15,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.
98,Os Paqueras,2025-04-25,06:30,Comedy / 1969,"Sombra e água fresca dão a tônica do cotidiano de Nonô. Aos 25 anos, o rapaz não leva os estudos a sério e só quer ir à praia e paquerar. Mas, quando menos espera, ele conhece a jovem Margareth, filha de seu parceiro na arte da sedução. A paixão pela moça vira a rotina do rapaz de cabeça para baixo."
99,Guard Dog & Bill Plympton no Brasil,2025-04-25,08:05,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
100,Alceu - Na Embolada do Tempo,2025-04-25,08:10,Special,"Um panorama da carreira do artista Alceu Valença, por meio de performances ao vivo, comentadas pelo próprio e por terceiros, contextualizando sua obra singular na história cultural recente do Brasil."
101,Mutum,2025-04-25,09:40,Drama / 2007 / 7.1,"Na companhia do irmão, Thiago precisa enfrentar as lições de vida, violência e maturidade. Sua infância é lentamente deixada para trás, vivendo na mata escura e assustadora, mas também repleta de cumplicidade e brincadeiras."
102,Filhos de João - O Admirável Mundo Novo Baiano,2025-04-25,11:10,Documentary / 2009 / 7.6,"A trajetória dos Novos Baianos, grupo encabeçado por Pepeu Gomes, Baby do Brasil, Moraes Moreira, Luiz Galvão e Paulinho Boca de Cantor. Nos anos 1970, a banda ganhou um padrinho famoso e influente: João Gilberto."
